id,output
0,(ORDER (PIZZAORDER (NUMBER a ) (SIZE extra large ) (TOPPING sauteed spinach ) ) )
1,(ORDER (PIZZAORDER (NUMBER a ) (SIZE exta ) (TOPPING roasted red peppers ) (TOPPING more ) (NOT (TOPPING sausage ) ) ) )
2,(ORDER (PIZZAORDER (TOPPING style ) (TOPPING tomato ) (TOPPING sauce ) (NOT (TOPPING onions ) ) ) )
3,(ORDER (PIZZAORDER (TOPPING with ) (TOPPING garlic ) ) )
4,(ORDER (PIZZAORDER (TOPPING pesto ) ) )
5,(ORDER (PIZZAORDER (STYLE i'd ) ) (PIZZAORDER (NUMBER a ) (TOPPING with ) (TOPPING gilled chicken ) (COMPLEX_TOPPING (QUANTITY a tiny bit ) (TOPPING of ) ) (TOPPING cheese ) ) )
6,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING med peto ) ) (PIZZAORDER (TOPPING ham ) ) (DRINKORDER (NUMBER a ) (DRINKTYPE large ) (DRINKTYPE iced tea ) ) )
7,(ORDER (PIZZAORDER (NUMBER three ) (SIZE extra large ) ) (DRINKORDER (NUMBER three ) (DRINKTYPE can ) ) )
8,(ORDER (DRINKORDER (NUMBER a total of ) ) (PIZZAORDER (TOPPING one ) (STYLE med ) ) (PIZZAORDER (NUMBER one ) (QUANTITY with ) (QUANTITY a litle bit ) ) )
9,(ORDER (PIZZAORDER (COMPLEX_TOPPING (QUANTITY a ) (TOPPING lot ) ) (TOPPING f meatbll ) (TOPPING green ) ) )
10,(ORDER (PIZZAORDER (TOPPING i'll ) (SIZE just ) (NUMBER five ) ) )
11,(ORDER (PIZZAORDER (NUMBER a ) (STYLE meium ) ) )
12,(ORDER (PIZZAORDER (QUANTITY of ) ) )
13,(ORDER (PIZZAORDER (SIZE extra ) (TOPPING pizza ) (TOPPING and ) ) )
14,(ORDER (PIZZAORDER (TOPPING green ) ) )
15,(ORDER (PIZZAORDER (NUMBER four ) (SIZE lunch ) (TOPPING capers ) (TOPPING ham ) (TOPPING and ) (TOPPING olives ) ) )
16,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING medium-sized ) ) (PIZZAORDER (QUANTITY a ) ) )
17,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING cheddar ) (TOPPING cheese ) (TOPPING olive ) (NOT (TOPPING canadian ) ) ) )
