id,output
0,(ORDER (PIZZAORDER (SIZE a ) (SIZE extra large ) (TOPPING sauteed ) ) )
1,(ORDER (PIZZAORDER (NUMBER a ) (STYLE exta ) (TOPPING with roasted red ) (TOPPING and more ) (NOT (STYLE no ) (PIZZAORDER sausage ) ) ) )
2,(ORDER (PIZZAORDER (STYLE order ) ) (PIZZAORDER (STYLE new ) (TOPPING york ) (TOPPING tomato ) (NOT (STYLE absolutely no ) ) (NOT (TOPPING onions ) ) ) )
3,(ORDER (PIZZAORDER (TOPPING with ) (TOPPING garlic ) (TOPPING and ) ) )
4,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING in ) (TOPPING pesto ) pan ) )
5,(ORDER (PIZZAORDER (TOPPING pie ) (TOPPING with ) ) (PIZZAORDER (NOT (STYLE add ) ) (COMPLEX_TOPPING (QUANTITY some a tiny bit ) (TOPPING cheese and ) ) ) )
6,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING med ) (TOPPING peto ) (TOPPING and ) ) (DRINKORDER (QUANTITY with ) (DRINKTYPE a ) (DRINKTYPE large iced tea ) ) )
7,(ORDER (PIZZAORDER (NUMBER me ) (SIZE three ) (STYLE extra ) ) (DRINKORDER (QUANTITY and ) (DRINKTYPE three ) (DRINKTYPE of ) Juice ) )
8,(ORDER (PIZZAORDER (QUANTITY a ) (STYLE total ) (STYLE of ) ) (PIZZAORDER (QUANTITY pizza ) (STYLE pizza ) (TOPPING with ) (CONTAINERTYPE a ) ) )
9,(ORDER (PIZZAORDER (COMPLEX_TOPPING (QUANTITY a ) (TOPPING lot f ) ) ) (TOPPING and ) )
10,(ORDER (PIZZAORDER (SIZE i'll just ) (NUMBER five ) ) )
11,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING including ) black ) )
12,(ORDER (PIZZAORDER (STYLE with eleen ) ) (PIZZAORDER (NOT (STYLE on all ) ) (STYLE of them as ) ) (TOPPING well ) )
13,(ORDER (PIZZAORDER (QUANTITY et ) (SIZE a ) (TOPPING large ) (TOPPING pizza added ) (TOPPING peppers and ) ) )
14,(ORDER (PIZZAORDER (NUMBER a ) ) )
15,(ORDER (PIZZAORDER (NUMBER four ) (SIZE lunch ) (TOPPING capers ) (TOPPING with ) (TOPPING and ) (QUANTITY olives ) ) )
16,(ORDER (PIZZAORDER (NUMBER like ) (NUMBER a ) (TOPPING medium-sized pine ) (TOPPING and ) (QUANTITY with ) (NOT (TOPPING no ) ) (QUANTITY a little ) (CONTAINERTYPE bit ) ) )
17,(ORDER (PIZZAORDER (NUMBER a ) ) (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING cheddar cheese ) (TOPPING olive ) (NOT (TOPPING canadian ) ) ) )
