id,output
0,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING pesto ) (TOPPING mushrooms ) (NOT (TOPPING pineapple ) ) ) )
1,(ORDER (PIZZAORDER (NUMBER two ) (SIZE medium ) (TOPPING extra ) (TOPPING cheese ) (NOT (TOPPING pesto ) ) ) )
2,(ORDER (PIZZAORDER (NUMBER one ) (SIZE small ) (TOPPING pepperoni ) (TOPPING chicken ) (NOT (TOPPING mushrooms ) ) ) )
3,(ORDER (DRINKORDER (NUMBER two ) (DRINKTYPE pepsis ) (DRINKTYPE a ) (DRINKTYPE coke ) ) (DRINKORDER (NUMBER five ) (SIZE large ) (DRINKTYPE fantas ) ) )
4,(ORDER (PIZZAORDER (NUMBER one ) (SIZE medium ) (TOPPING sausage ) (TOPPING mushrooms ) ) )
5,(ORDER (DRINKORDER (NUMBER one ) (SIZE pepsi six large ) (DRINKTYPE diet cokes ) ) (DRINKORDER (NUMBER a ) (SIZE medium ) (DRINKTYPE fanta ) ) )
6,(ORDER (PIZZAORDER (NUMBER like ) (NUMBER one ) (TOPPING sausage ) (TOPPING olives ) (TOPPING pineapple ) ) )
7,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING mushrooms ) (TOPPING bacon ) (TOPPING pepperoni ) ) )
8,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING extra ) (TOPPING cheese pepperoni ) (NOT (TOPPING bacon ) ) ) )
9,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING onions thin crust chicken ) ) )
10,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING sausage ) (TOPPING olives ) (TOPPING pineapple ) ) )
11,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING chicken ) (TOPPING tuna ) (NOT (TOPPING pesto ) ) ) )
12,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING onion ) (TOPPING tuna ) (NOT (TOPPING pineapple ) ) ) )
13,(ORDER (PIZZAORDER (NUMBER one ) (SIZE medium ) (TOPPING feta cheese ) (TOPPING bacon ) ) )
14,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING ham ) (TOPPING olives ) (NOT (TOPPING pepperoni ) ) ) )
15,(ORDER (PIZZAORDER (COMPLEX_TOPPING (QUANTITY a large ) (TOPPING ham ) ) (TOPPING chicken ) ) )
16,(ORDER (PIZZAORDER (NUMBER two ) (SIZE medium ) (TOPPING pepperoni ) (NUMBER one ) (SIZE small ) (TOPPING onions black olives ) ) (DRINKORDER (NUMBER three ) (SIZE large ) (DRINKTYPE sprites ) ) )
17,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING thin crust ) (NOT (TOPPING peppers ) ) ) )
18,(ORDER (PIZZAORDER (COMPLEX_TOPPING (QUANTITY one ) (TOPPING pepperoni ) ) (TOPPING ham ) ) (NOT (TOPPING onions ) ) )
19,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING pepperoni ) (TOPPING sausage black olives ) ) (DRINKORDER (NUMBER three ) (SIZE large ) (DRINKTYPE cokes ) ) )
20,(ORDER (PIZZAORDER (NUMBER a ) (STYLE thin ) (TOPPING crust ) (TOPPING mushroom ) ) )
21,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING sausage ) (TOPPING pesto ) (NOT (TOPPING pepperoni ) ) ) )
22,(ORDER (PIZZAORDER (NUMBER one ) (SIZE medium ) (TOPPING bacon ) (TOPPING pesto ) ) )
23,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING sausage ) (TOPPING extra cheese ) (TOPPING ham ) ) )
24,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING pepperoni ) (TOPPING sausage anchovies ) (TOPPING onions ) ) (DRINKORDER (NUMBER two ) (SIZE large ) (DRINKTYPE cokes ) ) (DRINKORDER (NUMBER one ) (SIZE large ) (DRINKTYPE sprite ) ) )
25,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING beef ) (TOPPING bacon ) (TOPPING ham ) (TOPPING onions ) (TOPPING black olives ) ) (DRINKORDER (NUMBER three ) (SIZE large ) (DRINKTYPE diet ) cokes ) )
26,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING pepperoni ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING sauce ) ) ) )
27,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING extra cheese ) (TOPPING peppers ) (NOT (TOPPING pesto ) ) ) )
28,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING pepper ) (TOPPING sausage ) (TOPPING pineapples ) ) )
29,(ORDER (PIZZAORDER (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese sausage mushroom ) ) ) )
30,(ORDER (PIZZAORDER (NUMBER one ) (SIZE small ) (TOPPING pesto bacon ) (NOT (TOPPING onions ) ) ) )
31,(ORDER (PIZZAORDER (NUMBER three ) (SIZE small ) (TOPPING sausage ) ) (DRINKORDER (NUMBER three ) (SIZE bottles ) (DRINKTYPE coke ) ) )
32,(ORDER (PIZZAORDER (NUMBER two ) (TOPPING peppers ) (TOPPING bacon pesto ) ) )
33,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING chicken ) ) (PIZZAORDER (NUMBER one ) (SIZE small ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
34,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING pepperoni ) (TOPPING ham ) ) (NOT (TOPPING tuna ) ) )
35,(ORDER (PIZZAORDER (NUMBER two ) (SIZE large ) (TOPPING everything ) ) (PIZZAORDER (NUMBER two ) (SIZE large ) (TOPPING mushrooms ) (TOPPING extra cheese ) ) (DRINKORDER (SIZE large ) ) )
36,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING pineapple ) (TOPPING ham ) (NOT (TOPPING peppers ) ) ) )
37,(ORDER (PIZZAORDER (NUMBER two ) (SIZE small ) (TOPPING peppers ) (TOPPING bacon ) (NOT (TOPPING olives ) ) ) )
38,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING pepperoni ) ) ) (DRINKORDER (NUMBER two ) (SIZE medium ) (SIZE pizzas ) ) )
39,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING chicken ) (TOPPING onion ) (NOT (TOPPING pesto ) ) ) )
40,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING peppers ) (TOPPING onions ) ) (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING pepperoni ) (TOPPING extra ) cheese (NUMBER a ) (SIZE small ) (DRINKTYPE dr ) (SIZE pepper ) ) )
41,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING thin crust chicken ) (TOPPING pepper ) ) )
42,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING mushroom ) (TOPPING pepperoni ) (TOPPING banana pepper ) ) )
43,(ORDER (PIZZAORDER (NUMBER one ) (SIZE small ) (TOPPING chicken ) (TOPPING extra cheese ) (NOT (TOPPING olives ) ) ) )
44,(ORDER (PIZZAORDER (NUMBER two ) (SIZE large ) ) )
45,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING sausage ) (TOPPING ham ) ) (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING pepperoni ) (TOPPING sausage ) ) (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING mushrooms ) (TOPPING green ) peppers ) )
46,(ORDER (PIZZAORDER (NUMBER a ) (STYLE tuna ) (QUANTITY thin ) ) )
47,(ORDER (PIZZAORDER (NUMBER two ) (SIZE mushrooms ) ) (NOT (TOPPING onions ) ) )
