id,output
0,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING pesto ) (NOT (TOPPING pineapple ) ) ) )
1,(ORDER (PIZZAORDER (NUMBER two ) (SIZE medium ) (TOPPING tuna ) (TOPPING extra ) (TOPPING cheese ) ) (NOT (TOPPING pesto ) ) )
2,(ORDER (PIZZAORDER (NUMBER one ) (SIZE small ) (TOPPING pepperoni ) (TOPPING chicken ) (NOT (TOPPING mushrooms ) ) ) )
3,(ORDER (DRINKORDER (NUMBER two ) (DRINKTYPE pepsis ) (DRINKTYPE a ) (DRINKTYPE coke ) ) (DRINKORDER (NUMBER five ) (SIZE large ) (DRINKTYPE fantas ) ) )
4,(ORDER (PIZZAORDER (NUMBER one ) (SIZE medium ) (TOPPING sausage ) (TOPPING mushrooms ) ) )
5,(ORDER (DRINKORDER (NUMBER one ) (SIZE pepsi six large ) (DRINKTYPE diet cokes ) ) (DRINKORDER (NUMBER a ) (SIZE medium ) (DRINKTYPE fanta ) ) )
6,(ORDER (PIZZAORDER (TOPPING sausage ) (TOPPING olives ) (TOPPING pineapple ) ) )
7,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING mushrooms ) (TOPPING bacon pepperoni ) ) )
8,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING extra ) (TOPPING cheese pepperoni ) ) (NOT (TOPPING bacon ) ) )
9,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING onions ) (COMPLEX_TOPPING (QUANTITY thin ) (TOPPING crust chicken ) ) ) )
10,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING sausage ) (TOPPING olives ) (TOPPING pineapple ) ) )
11,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING chicken ) (TOPPING tuna ) (NOT (TOPPING pesto ) ) ) )
12,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING onion ) (TOPPING tuna ) (NOT (TOPPING pineapple ) ) ) )
13,(ORDER (PIZZAORDER (NUMBER one ) (SIZE medium ) (TOPPING feta cheese ) (TOPPING bacon ) ) )
14,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING ham ) (TOPPING olives ) (NOT (TOPPING pepperoni ) ) ) )
15,(ORDER (PIZZAORDER (COMPLEX_TOPPING (QUANTITY a large ) (TOPPING ham ) ) (TOPPING chicken ) (TOPPING pineapple ) ) )
