id,output
0,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING pesto ) (TOPPING mushrooms ) ) (NOT (TOPPING pineapple ) ) )
1,(ORDER (PIZZAORDER (NUMBER two ) (SIZE medium ) (TOPPING extra cheese ) ) )
2,(ORDER (PIZZAORDER (NUMBER one ) (SIZE small ) (TOPPING pepperoni ) (TOPPING chicken ) ) )
3,(ORDER (DRINKORDER (NUMBER two ) (DRINKTYPE pepsis a ) (DRINKTYPE coke ) ) (DRINKORDER (NUMBER five ) (SIZE large ) (DRINKTYPE fantas ) ) )
4,(ORDER (PIZZAORDER (NUMBER one ) (SIZE medium ) (TOPPING sausage mushrooms ) ) )
5,(ORDER (DRINKORDER (NUMBER one ) (SIZE pepsi six large ) (DRINKTYPE diet cokes ) ) (DRINKORDER (NUMBER a ) (SIZE medium ) ) (DRINKTYPE fanta ) )
6,(ORDER (PIZZAORDER (NUMBER like ) (NUMBER one ) (TOPPING sausage olives ) ) (TOPPING pineapple ) )
7,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING mushrooms ) (TOPPING bacon ) ) (TOPPING pepperoni ) )
8,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING extra cheese ) (NOT (TOPPING bacon ) ) ) )
9,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING onions ) (STYLE thin ) (TOPPING crust ) ) )
10,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING sausage olives ) ) )
11,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING chicken ) (NOT (TOPPING pesto ) ) ) )
12,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING onion ) (TOPPING tuna ) (NOT (TOPPING pineapple ) ) ) )
13,(ORDER (PIZZAORDER (NUMBER one ) (SIZE medium ) (TOPPING feta cheese ) ) (TOPPING bacon ) )
14,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING ham ) (TOPPING olives ) ) )
15,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING ham ) (TOPPING pineapple ) ) )
16,(ORDER (PIZZAORDER (NUMBER two ) (SIZE medium ) (NUMBER one ) (SIZE small ) (TOPPING onions black olives ) (TOPPING peppers ) ) (DRINKORDER (NUMBER three ) (SIZE large ) ) (DRINKTYPE sprites ) )
17,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (STYLE thin crust ) (TOPPING ham ) ) (NOT (TOPPING peppers ) ) )
18,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING pepperoni ) (TOPPING ham ) ) )
19,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING pepperoni sausage ) (TOPPING black ) (TOPPING olives ) (TOPPING anchovies ) ) )
20,(ORDER (PIZZAORDER (NUMBER a ) (STYLE thin crust ) (TOPPING mushroom ) ) )
21,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING sausage ) (NOT (TOPPING pepperoni ) ) ) )
22,(ORDER (PIZZAORDER (NUMBER one ) (SIZE medium ) (TOPPING bacon ) (TOPPING pesto ) ) )
23,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING sausage ) (TOPPING extra cheese ) ) (TOPPING ham ) )
24,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING pepperoni sausage ) (TOPPING anchovies ) ) (DRINKORDER (NUMBER two ) (SIZE large ) (DRINKTYPE cokes ) ) (DRINKORDER (NUMBER one ) (SIZE large ) ) (DRINKTYPE sprite ) )
25,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING beef bacon ) (TOPPING ham ) (TOPPING onions ) (TOPPING black olives ) ) (DRINKORDER (NUMBER three ) (SIZE large ) (DRINKTYPE diet ) ) (CONTAINERTYPE cokes ) )
26,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING pepperoni ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING sauce ) ) ) )
27,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING extra cheese ) (TOPPING peppers ) ) )
28,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING pepper ) (TOPPING sausage ) (TOPPING pineapples ) ) )
29,(ORDER (PIZZAORDER (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese sausage ) ) ) )
30,(ORDER (PIZZAORDER (NUMBER one ) (SIZE small ) (TOPPING pesto bacon ) ) )
31,(ORDER (PIZZAORDER (NUMBER three ) (SIZE small sausage ) ) (DRINKORDER (NUMBER three ) (CONTAINERTYPE bottles ) ) (DRINKTYPE coke ) )
32,(ORDER (PIZZAORDER (NUMBER two ) (TOPPING along ) (TOPPING peppers ) (TOPPING bacon ) ) )
33,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING chicken ) ) (PIZZAORDER (NUMBER one ) (SIZE small ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
34,(ORDER (PIZZAORDER (SIZE a ) (SIZE small ) (TOPPING pepperoni ) (TOPPING ham ) ) )
35,(ORDER (PIZZAORDER (NUMBER like ) (SIZE two large ) (TOPPING everything ) ) (PIZZAORDER (NUMBER two ) (SIZE large ) (TOPPING mushrooms ) (TOPPING extra cheese ) ) (DRINKORDER (SIZE large ) ) (SIZE cokes ) )
36,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING pineapple ham ) (NOT (TOPPING peppers ) ) ) )
37,(ORDER (PIZZAORDER (NUMBER two ) (SIZE small ) (TOPPING peppers ) (NOT (TOPPING olives ) ) ) )
38,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING pepperoni ) ) ) (DRINKORDER (NUMBER two ) ) (SIZE medium ) )
39,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING chicken ) (TOPPING onion ) ) (NOT (TOPPING pesto ) ) )
40,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING peppers ) (TOPPING onions ) ) (PIZZAORDER (NUMBER a ) (SIZE medium ) (STYLE pepperoni ) (TOPPING extra cheese ) ) (DRINKORDER (NUMBER a ) (SIZE small ) (DRINKTYPE dr ) (SIZE pepper ) ) )
41,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (STYLE thin crust ) (TOPPING chicken ) (TOPPING pepper ) ) )
42,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING mushroom pepperoni ) (TOPPING banana ) ) )
43,(ORDER (PIZZAORDER (NUMBER one ) (SIZE small ) (TOPPING chicken ) (TOPPING extra cheese ) ) (NOT (TOPPING olives ) ) )
44,(ORDER (PIZZAORDER (NUMBER two ) (SIZE large ) (DRINKTYPE cheese ) ) )
45,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING sausage ) (TOPPING ham ) ) (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING pepperoni ) (TOPPING sausage ) ) (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING mushrooms ) ) (TOPPING green ) )
46,(ORDER (PIZZAORDER (NUMBER a ) (DRINKTYPE tuna ) (STYLE thin ) ) )
47,(ORDER (PIZZAORDER (NUMBER two ) (SIZE mushrooms pesto ) ) )
48,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING onions ) (TOPPING ham ) ) (NOT (TOPPING sausage ) ) )
